	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
298	GSTO1	3090.113935	-0.423429232	0.093377158	-4.534612547	5.77e-06	0.000187981
299	KCNJ3	46.01429033	10.72931712	2.368145962	4.530682351	5.88e-06	0.000191065
300	KCNG2	6045.668723	-0.775336363	0.171126286	-4.530784726	5.88e-06	0.000191065
301	LMAN2	7624.520429	0.232491473	0.051323602	4.529913413	5.9e-06	0.000191538
302	PKN1	514.9577984	0.496905481	0.109736838	4.52815565	5.95e-06	0.000192241
303	TRIP13	425.3047596	-0.495585723	0.109483577	-4.526575928	5.99e-06	0.00019301
304	HSPA2	28126.43701	-0.758229753	0.167605265	-4.523901771	6.07e-06	0.000195015
305	GPR26	2005.817948	0.736191613	0.162725072	4.524143721	6.06e-06	0.000195015
306	MSH6	18383.07975	0.295694055	0.065546547	4.511207183	6.45e-06	0.0002054
307	KDSR	39626.30215	-0.378133813	0.083900195	-4.506947969	6.58e-06	0.000209325
308	GINM1	2145.604018	-0.362162408	0.080436716	-4.502451435	6.72e-06	0.000213299
309	KCNS2	15383.06875	0.827204914	0.183975328	4.496281782	6.92e-06	0.000218599
310	FOXRED1	2512.649399	0.378848373	0.084272851	4.495497307	6.94e-06	0.000219158
311	GRHL1	309.5167105	-0.777795802	0.173360315	-4.486585072	7.24e-06	0.000227491
312	CCT5	38817.17686	0.256226412	0.057152507	4.483205088	7.35e-06	0.000230865
313	RIOX1	986.6339832	0.298954136	0.066739005	4.479451483	7.48e-06	0.000234697
314	B4GALT3	6280.802775	0.352153372	0.07867339	4.476143328	7.6e-06	0.000238093
315	FHL2	592.3223112	1.280539812	0.286248492	4.473525097	7.69e-06	0.000240757
316	KLHL17	1715.08233	0.389606942	0.087154923	4.47028036	7.81e-06	0.000243823
317	NCBP2	12204.21077	-0.188712293	0.042254903	-4.466044918	7.97e-06	0.000247654
318	VBP1	6444.611218	0.306201857	0.068615354	4.462585111	8.1e-06	0.000250677
319	GNAI2	11623.322	0.233719231	0.052528918	4.449344071	8.61e-06	0.000264173
320	DDR2	1554.507212	0.684430819	0.153908092	4.447009979	8.71e-06	0.000266178
321	ACTR6	15314.88424	0.209238864	0.04709611	4.442805619	8.88e-06	0.000271137
322	ENSTGUG00000029476	231.4762055	-0.772719279	0.174024798	-4.440282572	8.98e-06	0.000274034
323	CCN2	652.6420277	0.714131461	0.161192624	4.430298629	9.41e-06	0.000285469
324	EDEM2	78.24995761	10.56592276	2.385245031	4.42970119	9.44e-06	0.000285949
325	TPMT	2423.907074	0.390569853	0.088229551	4.426746469	9.57e-06	0.000289577
326	CLSPN	1325.671313	-0.44584604	0.100795151	-4.423288578	9.72e-06	0.00029348
327	EAF2	1470.069483	0.400304721	0.090522527	4.42215585	9.77e-06	0.000294327
328	KDM3A	1797.074087	0.67864824	0.153546719	4.41981597	9.88e-06	0.000297081
329	EIF3B	12488.40132	0.328640403	0.074388923	4.417867471	9.97e-06	0.000299448
330	SORBS1	7122.74689	0.601911431	0.136630876	4.405383694	1.06e-05	0.000315859
331	TIAM2	123.896498	2.072870399	0.471144715	4.399646928	1.08e-05	0.000323283
332	MED12	8207.901007	-0.25494893	0.058069137	-4.39043771	1.13e-05	0.000335128
333	TDP2	1431.223336	0.677293198	0.154288942	4.389771487	1.13e-05	0.000335798
334	SLC39A8	442.5140859	-0.975102786	0.222230469	-4.387799704	1.15e-05	0.000338137
335	DAPK2	151.1973736	-0.37644225	0.085875869	-4.383562643	1.17e-05	0.000343593
336	URB2	1000.692018	0.411530538	0.093876659	4.383736522	1.17e-05	0.000343593
337	PSMB7	14911.00911	0.224216676	0.05118887	4.380184173	1.19e-05	0.00034759
338	RPP30	2151.856111	0.539204356	0.123170974	4.377690117	1.2e-05	0.000351123
339	RBM47	201.308064	1.123161941	0.256651415	4.376215657	1.21e-05	0.000352861
340	HTRA3	728.0770168	-0.379144455	0.086744053	-4.370840914	1.24e-05	0.000360902
341	ENSTGUG00000028878	36.23405648	-3.158756526	0.723327514	-4.36697964	1.26e-05	0.000366187
342	XKR8	205.1948819	-0.581741417	0.133522044	-4.356894169	1.32e-05	0.000380288
343	MMP13	86.24753312	-1.361502903	0.313633787	-4.341059409	1.42e-05	0.000404981
344	NCOA2	311.7603815	-1.411059262	0.326159989	-4.326279461	1.52e-05	0.000430028
345	VPS54	3139.81653	-0.176369009	0.040813815	-4.32130659	1.55e-05	0.000437459
346	GNB1	24545.92437	-1.440865616	0.333444419	-4.321156789	1.55e-05	0.000437459
347	ENSTGUG00000026082	31.99768371	-1.173083537	0.271590249	-4.319313904	1.57e-05	0.000440307
348	THAP1	4098.680844	-0.275231595	0.063753728	-4.317105928	1.58e-05	0.000443764
349	WDR75	3811.664974	0.314529192	0.073032338	4.306711235	1.66e-05	0.000462795
350	ABTB2	4153.417205	-0.237611883	0.055218696	-4.303105643	1.68e-05	0.000469226
351	MYLIP	2826.036126	0.418010713	0.097393785	4.291964953	1.77e-05	0.000489715
352	TMEM87A	15591.29421	0.136730629	0.031917216	4.28391463	1.84e-05	0.000504774
353	GRP	45.46100643	1.80026612	0.42048628	4.281390871	1.86e-05	0.000509025
354	SKP2	1478.108182	0.205149988	0.047933403	4.279896143	1.87e-05	0.000511951
355	TPRKB	2495.341269	-0.466038039	0.108940543	-4.277911833	1.89e-05	0.000516027
356	ZFYVE28	4291.044625	-0.446191244	0.104392862	-4.274154735	1.92e-05	0.000523775
357	RHOBTB3	2745.481108	-0.272528001	0.063776824	-4.273151013	1.93e-05	0.000525623
358	SINHCAF	109.207673	1.729040018	0.4047855	4.271496922	1.94e-05	0.000528502
359	ZC3H12B	9936.949669	-0.559893702	0.131099744	-4.27074597	1.95e-05	0.000529766
360	HTR2A	21331.58832	0.783331439	0.184140408	4.253989906	2.1e-05	0.000565502
361	NCAPG	894.0974592	-0.452813911	0.106831179	-4.238593214	2.25e-05	0.000598752
362	AKAP7	5904.522357	-0.314095482	0.074117251	-4.23781881	2.26e-05	0.000599673
363	CPED1	350.2371755	-0.590520105	0.139511164	-4.232780289	2.31e-05	0.000611193
364	MAPK8IP1	12573.93812	0.828045333	0.195705703	4.231074119	2.33e-05	0.000614421
365	WDR18	1426.84686	0.276236252	0.065300504	4.230231542	2.33e-05	0.000616142
366	CBX4	24155.50671	0.28738733	0.067964719	4.22847817	2.35e-05	0.00061877
367	KLHL26	2443.46158	-0.646416799	0.152881338	-4.228225676	2.36e-05	0.00061877
368	NEURL1	6214.778745	0.388041931	0.091763302	4.228726781	2.35e-05	0.00061877
369	RUNX1T1	694.6802741	-1.973702261	0.46679391	-4.228209104	2.36e-05	0.00061877
370	PPARGC1B	6586.309867	0.640369333	0.151498564	4.226900341	2.37e-05	0.000621791
371	MYBBP1A	8485.401642	0.541489073	0.128204467	4.223636552	2.4e-05	0.000629681
372	DGKB	11453.50692	1.529854103	0.362561436	4.219572047	2.45e-05	0.000639936
373	WDR17	699.886801	-1.408231175	0.333851629	-4.218134798	2.46e-05	0.000642819
374	UBE2E1	15003.5907	0.468695106	0.111140191	4.217152245	2.47e-05	0.000644416
375	SPNS2	1276.026858	-0.612102333	0.145322745	-4.212020165	2.53e-05	0.000658005
376	CENPX	77.85606574	0.625846772	0.148714993	4.208363647	2.57e-05	0.000667494
377	USP12	16292.64504	0.397423806	0.094505748	4.205287117	2.61e-05	0.000676008
378	FOXI2	40.07876621	1.409233722	0.335254685	4.203472118	2.63e-05	0.000678294
379	PPP2R2A	3728.851363	1.320970257	0.314771372	4.196602279	2.71e-05	0.000697249
380	GPX7	1037.426736	-0.433914359	0.103770998	-4.181460794	2.9e-05	0.000739878
381	RPL12	11227.6375	0.469184957	0.112342372	4.176384635	2.96e-05	0.00075464
382	CIT	2975.997877	2.057704278	0.492857296	4.175050864	2.98e-05	0.000757543
383	FAM8A1	7634.737896	-0.350149897	0.084009443	-4.167982627	3.07e-05	0.000779278
384	GSG1L	3186.442429	0.757255235	0.18222727	4.155553861	3.25e-05	0.000817659
385	BSDC1	9544.281301	-0.423018445	0.101833147	-4.154034875	3.27e-05	0.000822364
386	PPP2R5C	1312.474778	1.063120711	0.256304737	4.147877735	3.36e-05	0.000844026
387	XRN1	3237.062389	1.209117819	0.292351722	4.13583272	3.54e-05	0.000885543
388	PSMB2	6045.318309	0.20275819	0.049042736	4.134316438	3.56e-05	0.000889808
389	EIF3H	687.1221382	1.565047294	0.378662528	4.133092599	3.58e-05	0.000893389
390	DIMT1	1807.201626	0.218027719	0.052757154	4.132666398	3.59e-05	0.000893813
391	BASP1	116928.428	0.401290774	0.097229633	4.127247661	3.67e-05	0.000912003
392	SNX30	128.068173	-2.26932533	0.549844618	-4.127212045	3.67e-05	0.000912003
393	RRAD	813.8131898	1.78321489	0.43259731	4.122112752	3.75e-05	0.000927464
394	RPL7	11346.34146	0.266880555	0.06484202	4.115858103	3.86e-05	0.000948266
395	RPN2	14007.62919	0.150393365	0.036540705	4.115776208	3.86e-05	0.000948266
396	EFNA5	1438.175232	-0.43266068	0.105144654	-4.114908983	3.87e-05	0.000950998
397	ARIH1	51468.01383	0.145857671	0.035464507	4.112778716	3.91e-05	0.000958973
398	RMI1	3801.795016	-0.456160002	0.11092164	-4.112452752	3.91e-05	0.000959465
399	SERPINB1	531.9582548	-0.587487042	0.142862547	-4.112253739	3.92e-05	0.000959465
400	ACO2	118880.4764	0.13583579	0.033084946	4.105667595	4.03e-05	0.000985483
401	CECR2	446.3713223	-0.468458168	0.114190925	-4.10241153	4.09e-05	0.000995958
402	THUMPD1	13348.02201	-0.206736773	0.05046008	-4.097036207	4.18e-05	0.00101669
403	EXOSC9	6637.354406	0.184839668	0.045130761	4.095647042	4.21e-05	0.001021022
404	PDE3B	3261.373684	0.239682674	0.058562961	4.092734927	4.26e-05	0.001033034
405	ANO3	6251.789706	-1.544440461	0.377402324	-4.09229187	4.27e-05	0.001034109
406	FAM76A	3983.14079	0.229318765	0.056046222	4.091600768	4.28e-05	0.001036295
407	RCOR1	8917.702531	-0.314199063	0.076837183	-4.089153831	4.33e-05	0.001044561
408	SHISA5	16.81370141	3.267376112	0.800027681	4.084078824	4.43e-05	0.001065803
409	MED7	6211.670412	0.290632616	0.071202871	4.081754156	4.47e-05	0.001075591
410	SLC35G1	2159.812739	-0.340010353	0.083315218	-4.081011391	4.48e-05	0.001077171
411	LCORL	1085.409151	0.400474225	0.098244383	4.076306591	4.58e-05	0.001097293
412	PWWP2A	3766.700479	0.284046064	0.069721003	4.074038687	4.62e-05	0.001105292
413	PLA2G7	4739.912722	0.915564587	0.224732737	4.074015196	4.62e-05	0.001105292
414	CPLX4	5.196627698	-1.785122962	0.438196618	-4.07379448	4.63e-05	0.00110539
415	P4HA2	3223.950675	-0.590220358	0.145021542	-4.069880586	4.7e-05	0.001121649
416	PRSS35	2221.502898	-0.650885909	0.159966317	-4.068893517	4.72e-05	0.001125032
417	MRPL16	3492.498506	0.400525012	0.09847683	4.067200515	4.76e-05	0.00113033
418	PDE6C	53.88116613	-0.777453644	0.191283041	-4.06441492	4.82e-05	0.001141963
419	LRIT3	382.4747746	-1.293068815	0.318377505	-4.061432712	4.88e-05	0.001155667
420	TTC1	13635.538	0.300108698	0.073955156	4.057982086	4.95e-05	0.001170524
421	MEAF6	10686.92083	-0.164649859	0.040703381	-4.045115001	5.23e-05	0.001226653
422	RAB8B	12300.33097	-0.143006454	0.035357214	-4.044618813	5.24e-05	0.001228218
423	ZSWIM8	13153.97844	-0.206931204	0.051173313	-4.043732785	5.26e-05	0.001231833
424	CBR1	4593.195453	-0.335479543	0.083057947	-4.039102274	5.37e-05	0.001253239
425	NOP53	4122.342152	0.36626554	0.090754706	4.03577465	5.44e-05	0.001268439
426	ZYG11A	6758.172636	-0.552877818	0.137058661	-4.03387727	5.49e-05	0.001276092
427	RAD1	1576.01507	0.191246281	0.047457217	4.029867191	5.58e-05	0.00129481
428	NEUROD6	61.52465101	1.84534364	0.458437435	4.025290038	5.69e-05	0.001315866
429	TMEM43	3032.061168	-0.506986517	0.126017995	-4.023127931	5.74e-05	0.001326907
430	SHISA2	705.1579358	-0.631214464	0.157060168	-4.018934104	5.85e-05	0.001344047
431	CD44	2371.633233	0.480596438	0.119690188	4.015336996	5.94e-05	0.00136246
432	VPS11	3592.752825	0.918418617	0.228782152	4.014380528	5.96e-05	0.001365826
433	PPIG	27590.5461	0.405339419	0.100973962	4.014296486	5.96e-05	0.001365826
434	ESYT3	466.104433	-1.321634447	0.329689527	-4.008724391	6.1e-05	0.001395417
435	SSR1	1990.100778	3.07742114	0.767963193	4.007250828	6.14e-05	0.001402996
436	TMEM100	464.5620033	0.599826904	0.149843847	4.00301324	6.25e-05	0.001424865
437	EIF2B2	9733.266444	0.224156311	0.05602512	4.000996547	6.31e-05	0.001435889
438	tgu-mir-2958	17.41624054	-0.898441078	0.224755401	-3.99741708	6.4e-05	0.001451828
439	CAPN11	9700.701293	0.147065339	0.036789341	3.997498641	6.4e-05	0.001451828
440	DEPTOR	10653.98187	0.320788965	0.080265632	3.99659177	6.43e-05	0.00145571
441	UTP11	12309.19013	0.287040058	0.071879293	3.993362258	6.51e-05	0.001473289
442	KCNJ2	5242.199443	0.605816665	0.151797308	3.990957898	6.58e-05	0.001484686
443	NSUN7	123.8430712	-0.946869941	0.237502954	-3.986771213	6.7e-05	0.00150969
444	WDR43	5930.447182	0.464560816	0.116583985	3.984773854	6.75e-05	0.001517731
445	ENSTGUG00000000619	430.5708516	-0.387051381	0.097153367	-3.983921433	6.78e-05	0.001519506
446	UTP20	9202.204413	0.263884349	0.066267308	3.982119656	6.83e-05	0.001528016
447	RNF180	2562.909991	-0.264094653	0.066370644	-3.979088324	6.92e-05	0.001543264
448	ARHGAP40	549.1763802	-0.74891729	0.188276375	-3.977754987	6.96e-05	0.001549456
449	CHERP	13749.87645	-0.156535628	0.039390116	-3.973982378	7.07e-05	0.001570446
450	EGLN3	265.3335885	0.744565882	0.187419045	3.972733312	7.11e-05	0.001577447
451	AACS	15300.08594	0.34925525	0.087961042	3.970567436	7.17e-05	0.001589452
452	CA7	956.5101346	-0.368904111	0.092910134	-3.970547608	7.17e-05	0.001589452
453	HVCN1	757.7502745	-1.103560235	0.278313643	-3.965167587	7.33e-05	0.001620567
454	BTBD10	5310.741564	0.327539073	0.082603223	3.965209382	7.33e-05	0.001620567
455	RPL32	9242.006148	0.235667828	0.059460144	3.963458736	7.39e-05	0.001627048
456	SLC9A8	5590.713557	-0.211981542	0.053505698	-3.961849827	7.44e-05	0.001635453
457	RNF152	2572.895827	-0.66891406	0.169445842	-3.947656981	7.89e-05	0.001723226
458	RABIF	1982.967867	0.604787037	0.15322709	3.946998118	7.91e-05	0.001726618
459	MBNL2	11932.53527	0.824423994	0.208920468	3.946114052	7.94e-05	0.001730288
460	EIF3I	2539.548756	0.888902265	0.225254836	3.946207244	7.94e-05	0.001730288
461	ENSTGUG00000019373	80.98792303	-1.214045659	0.307824515	-3.943953782	8.01e-05	0.001744592
462	ICE2	1706.610201	-0.415844795	0.105629186	-3.936836128	8.26e-05	0.001785492
463	GTPBP8	430.6492276	-1.339706946	0.340311178	-3.936711548	8.26e-05	0.001785492
464	POLR2D	1716.67906	-0.256227847	0.065105697	-3.935567231	8.3e-05	0.001792629
465	SLMAP	2233.286311	0.738480498	0.187912885	3.929908795	8.5e-05	0.001831077
466	ZNF362	1578.458287	-1.321983341	0.337054295	-3.922167317	8.78e-05	0.001882187
467	FAM117B	2484.800147	-1.145624536	0.292261625	-3.919859596	8.86e-05	0.001894459
468	SCUBE2	1116.464891	-1.006937968	0.257567549	-3.909413166	9.25e-05	0.001969195
469	HNF4A	108.4629049	-1.048897996	0.268492769	-3.906615437	9.36e-05	0.001990602
470	CLCF1	14.66083782	1.309745284	0.335681014	3.901755622	9.55e-05	0.002023268
471	BRCA1	212.4704093	-0.811061379	0.207869157	-3.901787988	9.55e-05	0.002023268
472	DUSP14	14957.63639	0.909442857	0.233542735	3.89411752	9.86e-05	0.00207324
473	PPP3CA	60541.81366	-0.288879526	0.074379153	-3.883877587	0.000102804	0.002133005
474	RAB40C	17906.64574	0.476871756	0.123178174	3.871398152	0.000108213	0.002223239
475	DSEL	1425.496163	1.20780504	0.311979451	3.871424976	0.000108201	0.002223239
476	RASA1	12302.72087	0.151167488	0.039054082	3.870721839	0.000108514	0.002227771
477	SLIRP	6576.026392	0.382086948	0.098731263	3.869969203	0.000108849	0.002233012
478	NSFL1C	11599.14197	0.15870222	0.041144527	3.857189097	0.000114698	0.002334075
479	CACNG3	28439.38764	0.348346454	0.090324855	3.856595762	0.000114977	0.002336656
480	COG7	5788.928064	0.220725945	0.057247285	3.855657842	0.000115419	0.002343592
481	TTR	28.85385495	-1.494595771	0.387825404	-3.853785122	0.000116306	0.002358157
482	FLT1	6259.867403	-0.414710846	0.107668781	-3.851727872	0.000117287	0.002371147
483	PDE12	1526.466637	0.378910727	0.098426788	3.849670731	0.000118277	0.002388914
484	PLEKHJ1	4478.861101	0.169583917	0.044151663	3.840940612	0.000122564	0.002461718
485	FGD5	169.5745206	-1.890779716	0.492300171	-3.840704973	0.000122681	0.002462304
486	CWC22	8936.160334	0.19422076	0.050727757	3.828688148	0.000128828	0.002574526
487	RECK	861.3994581	-0.309159837	0.080775619	-3.827390487	0.000129509	0.002582567
488	SAP30L	43782.80731	0.267986435	0.070051051	3.825587625	0.000130461	0.002597817
489	FBXO8	3930.062239	-0.190012291	0.04971398	-3.822109798	0.000132315	0.002627217
490	TFAP2B	130.6817152	-0.608817113	0.159479674	-3.81752168	0.000134799	0.002670824
491	RCOR3	4902.926879	-0.372253017	0.097551782	-3.815953002	0.000135658	0.002684028
492	TARBP1	1532.452689	-0.493044744	0.129533984	-3.806296467	0.000141063	0.002783048
493	PSAT1	5700.025326	0.698235823	0.183471552	3.80568986	0.000141409	0.002785927
494	NTRK2	26465.21101	1.942715269	0.511841129	3.795543501	0.00014732	0.002879942
495	ADAMTS20	308.9353975	-0.473447579	0.124771141	-3.794527922	0.000147925	0.002889724
496	MAN2A1	1487.709166	-0.227775702	0.060057518	-3.792625957	0.000149063	0.002904639
497	NME2	7013.86202	0.369622911	0.097687087	3.783743814	0.000154487	0.002998964
498	IFITM10	141.265238	0.560711053	0.148263371	3.781858258	0.000155662	0.003015463
499	NPRL2	865.9495329	-0.64577406	0.17083994	-3.779994648	0.000156832	0.003033898
500	ERCC6L	551.9121005	-0.532900271	0.141200135	-3.774077628	0.000160601	0.003100341
501	ROS1	233.6593608	1.118552235	0.296400281	3.773789385	0.000160787	0.003101775
502	GRPR	124.3880374	-0.547244624	0.145274476	-3.766970215	0.000165241	0.003178884
503	UBQLN1	2158.576577	1.069680144	0.284039479	3.765955869	0.000165913	0.003187411
504	LONP1	21729.77873	0.174604712	0.046396535	3.763313615	0.000167677	0.003216849
505	SACM1L	15180.66199	-0.166646074	0.044329742	-3.759238537	0.000170431	0.003262944
506	ENDOV	1129.210076	-0.805847122	0.214459734	-3.75756841	0.000171572	0.003280277
507	UBFD1	10340.78961	-0.174891978	0.046546975	-3.757322079	0.000171741	0.003281251
508	PSPC1	1353.344099	0.904442623	0.240774005	3.756396467	0.000172378	0.003288888
509	EPS8L2	8556.688659	0.820176307	0.218580236	3.752289417	0.000175227	0.003331828
510	LRRC47	6203.327949	0.846708754	0.225709054	3.751328262	0.0001759	0.003342344
511	RER1	5419.283437	0.697791984	0.186156248	3.748420977	0.000177951	0.003374405
512	KHDRBS1	7965.171306	0.860808493	0.229804254	3.745833591	0.000179796	0.003397798
513	FKBP11	1205.405747	0.32140513	0.085828362	3.744742663	0.000180579	0.003410278
514	PRKCZ	2898.483985	-0.504713139	0.134889457	-3.741679679	0.000182794	0.003445105
515	INHBA	27.28623163	1.278055025	0.342106869	3.735835617	0.000187093	0.003502388
516	HSD17B12	8379.931097	0.479202238	0.128400853	3.732079865	0.000189905	0.003547874
517	PIGC	362.6394741	0.421525168	0.112990311	3.730631085	0.000191001	0.003562119
518	ZNF341	1304.435901	-0.246099258	0.065984969	-3.729626026	0.000191764	0.003568225
519	PCOLCE2	466.286535	1.332637597	0.357540547	3.727234875	0.000193592	0.003597424
520	ARHGAP26	12098.0519	0.453716516	0.12174164	3.726880267	0.000193864	0.003600082
521	PSMA5	8643.681865	0.169579534	0.045547538	3.72313287	0.000196766	0.00364423
522	CEBPZ	20070.51925	0.255911493	0.068765512	3.721509295	0.000198036	0.003660637
523	CCDC86	3909.652834	0.330289543	0.088758532	3.721214596	0.000198267	0.003662276
524	PTPN5	3775.981604	1.142149035	0.307116543	3.718943387	0.000200058	0.003692907
525	CHCHD4	3190.626571	0.285909637	0.076889415	3.718452494	0.000200447	0.003697635
526	STC2	33502.19284	1.067667256	0.287615477	3.712134228	0.000205519	0.003786176
527	GPR52	8083.437828	-0.551708511	0.148751017	-3.708939429	0.000208129	0.003830355
528	PSMA7	11336.24459	0.19309522	0.052069516	3.708412056	0.000208563	0.003830762
529	VLDLR	1359.830457	-1.525580564	0.411636389	-3.7061363	0.000210445	0.003861584
530	MAPKAPK5	3638.491896	0.219809132	0.059363771	3.702748805	0.000213276	0.003904933
531	AASS	136.9462001	-1.155507702	0.312090913	-3.702471472	0.000213509	0.003904933
532	MED31	2843.86889	-0.459277289	0.12426726	-3.695883274	0.000219124	0.003989255
533	LRRC3C	562.3731512	0.489131039	0.132414386	3.693941822	0.000220804	0.004017224
534	KCTD8	8374.027751	0.618895847	0.167566506	3.693434091	0.000221246	0.004022626
535	NEK5	262.2855466	1.277187455	0.346069108	3.690556097	0.000223764	0.004057807
536	AREG	79.88673252	1.421096478	0.385097378	3.690226318	0.000224055	0.004058871
537	DENND6A	33.53478927	-1.303341463	0.353261296	-3.689454455	0.000224735	0.004067463
538	RHOBTB2	12247.36681	0.790686092	0.214443698	3.687150051	0.00022678	0.004101792
539	tgu-mir-24	13.03563235	-0.856696746	0.232472575	-3.685151882	0.000228566	0.004123383
540	ZBTB11	8300.485732	-0.152557194	0.041431785	-3.682129388	0.000231294	0.004161795
541	TMEM179	931.4834056	4.130918475	1.122321148	3.680692003	0.000232602	0.004178488
542	CALCB	56.85804549	1.605768066	0.436277135	3.68061477	0.000232672	0.004178488
543	SOX18	2105.091705	0.387797116	0.105420739	3.678565696	0.000234549	0.004209479
544	ARHGAP28	102.6413405	-0.651578424	0.177186129	-3.677367004	0.000235654	0.004223853
545	OIT3	254.7609645	-0.660355318	0.179600544	-3.676800215	0.000236178	0.004227797
546	NCK2	12110.75791	0.320585676	0.087327872	3.671057921	0.000241549	0.004304547
547	IRAK1BP1	503.1601832	0.544204851	0.14826619	3.67045819	0.000242116	0.004311898
548	GALNT12	224.917431	-1.172162887	0.319390617	-3.669997875	0.000242552	0.004316907
549	MAML2	2485.627098	0.399669042	0.108928698	3.669088594	0.000243417	0.004329518
550	JPH1	8329.114145	-0.47023289	0.128192054	-3.668190605	0.000244273	0.004341973
551	TM2D2	3641.127178	0.268668118	0.073506138	3.655043288	0.000257139	0.004527267
552	ANPEP	221.0471569	0.548594965	0.150174345	3.653053815	0.00025914	0.004556734
553	SAP30	2825.85754	0.24148322	0.066130827	3.651598384	0.000260613	0.004579746
554	DACH2	1904.716119	1.003989492	0.274971905	3.651243902	0.000260973	0.004583178
555	RPS15A	5613.268168	0.342386662	0.093890578	3.646656249	0.000265675	0.004656929
556	BAALC	2242.254238	0.692990172	0.190074625	3.645884716	0.000266473	0.004667983
557	PNO1	2343.288384	0.420632428	0.115402699	3.644909787	0.000267486	0.004679821
558	AMOTL2	618.1560011	0.405408044	0.111414413	3.638739675	0.000273976	0.004776823
559	HHAT	1860.527297	-0.350769943	0.096619256	-3.630435153	0.000282944	0.004907064
560	GLT8D1	957.4250188	-1.126100903	0.310256837	-3.629576432	0.000283887	0.004914225
561	STIL	507.7532448	-0.742066027	0.204463131	-3.629339056	0.000284148	0.004915138
562	HMGCL	21.78953033	2.463574517	0.678818887	3.629207382	0.000284293	0.004915138
563	PSMD2	47128.3252	0.272107045	0.075003158	3.627941159	0.00028569	0.004934038
564	DNAJC1	2374.449487	0.299269363	0.082505829	3.627251144	0.000286455	0.004943297
565	PLPP6	1655.499142	0.247208997	0.068186681	3.625473406	0.000288433	0.004974344
566	PLK4	793.0068422	-0.348789573	0.096232521	-3.624445957	0.000289582	0.004991066
567	IRS1	1321.141444	-0.351236345	0.096977944	-3.621816772	0.000292541	0.005035838
568	PPM1G	12500.11087	0.274405168	0.075832459	3.618571419	0.000296234	0.005089951
569	BOC	545.1206457	1.362935993	0.377772819	3.607819102	0.000308782	0.005285962
570	ACBD3	29476.26448	0.5091097	0.141213915	3.60523749	0.000311868	0.005328225
571	MRPL2	4418.10103	0.26437243	0.073334981	3.60499761	0.000312156	0.005328225
572	STX6	1269.056765	0.960276476	0.2667315	3.600161495	0.00031802	0.005414118
573	TOB2	13028.42385	0.213946062	0.059469347	3.597585538	0.000321185	0.005457985
574	MEIOC	40.26622412	-1.447526016	0.402413914	-3.597107273	0.000321776	0.005464688
575	TAC1	132342.3308	1.065486681	0.296249129	3.596590092	0.000322416	0.005472219
576	RARRES1	320.5258397	0.830398878	0.231001762	3.594772911	0.000324675	0.005503839
577	MIER3	8147.069428	-0.103553345	0.028813171	-3.593958617	0.000325692	0.005511003
578	CEP192	1564.498687	-0.358080546	0.099786202	-3.58847756	0.000332615	0.005600892
579	FAM234B	1966.832836	-0.563072078	0.157477456	-3.5755726	0.000349462	0.005849181
580	NCBP1	19967.26593	0.143233458	0.040079316	3.573750101	0.000351905	0.005872398
581	CRH	710.210394	0.673661135	0.188496016	3.573874654	0.000351737	0.005872398
582	GREM2	144.425881	1.704559834	0.477166481	3.572253922	0.000353922	0.005898983
583	CACNG5	2504.942821	0.459952892	0.128770297	3.571886538	0.000354419	0.005903729
584	HGFAC	503.5172301	0.620547319	0.173738769	3.571726242	0.000354636	0.005903809
585	NRN1	4265.20857	0.574430293	0.160865491	3.57087333	0.000355793	0.005915988
586	HMGA2	377.6204772	-0.469221722	0.131451662	-3.569538153	0.000357611	0.005942668
587	KDM5B	13444.818	-0.209751858	0.058774544	-3.568753468	0.000358684	0.005956934
588	NINJ1	3438.313128	-0.240586535	0.06747101	-3.565776405	0.000362781	0.006007042
589	ENPP6	5462.702216	0.344621112	0.096942735	3.554893654	0.000378132	0.006231562
590	TMEM199	172.3851213	1.101675674	0.310104957	3.552589695	0.000381459	0.00627895
591	CKB	124839.8585	-0.477358141	0.134544833	-3.547948518	0.000388244	0.006386857
592	MRPS7	3440.497507	0.251700653	0.070975992	3.54627876	0.000390713	0.006416083
593	SORBS2	6156.190291	0.578986908	0.16335071	3.544440712	0.000393447	0.006453366
594	CACNA1B	53.98738023	-1.901118964	0.536491182	-3.543616422	0.000394679	0.006465949
595	SEC11A	1458.794795	1.469054165	0.414674496	3.542668237	0.000396101	0.006473989
596	POLE	4949.863176	-0.197605371	0.055842225	-3.538637163	0.000402198	0.006550557
597	MAPRE1	16562.64046	0.36039605	0.101885565	3.537263118	0.000404297	0.006573188
598	CBX8	2228.17201	-0.290570261	0.082170713	-3.536177917	0.000405961	0.006592544
599	REELD1	59.17184943	-0.90192564	0.255203624	-3.534141197	0.000409102	0.006629231
600	CEBPB	83.53992244	-1.039345465	0.294081853	-3.534204689	0.000409004	0.006629231
601	NFAT5	1654.213236	-1.902553306	0.538540023	-3.532798354	0.000411186	0.006657958
602	FHL1	417.1611451	0.61293343	0.173523817	3.532272627	0.000412004	0.006667328
603	BAIAP2	2835.102827	1.257897593	0.356674342	3.526739791	0.00042071	0.006776671
604	METTL8	124.4506202	-1.448172497	0.410605429	-3.526919992	0.000420424	0.006776671
605	RIPK4	106.3174405	0.864693314	0.245225822	3.526110367	0.000421711	0.00678494
